the,A1,132903611,5290385
of,A1,72819941,4919550
and,A1,62509735,4537063
in,A2,54583695,5120795
in,A1,54583695,5120795
to,A1,44062461,4095697
to,A1,44062461,4095697
a,A1,43109634,5070824
was,A1,27155217,3867536
the,A1,22347267,3613730
is,A1,21165017,4587356
for,A2,17582284,3217676
for,A1,17582284,3217676
as,A2,16588400,3176032
as,A1,16588400,3176032
on,A2,15973369,3169318
on,A1,15973369,3169318
with,A1,15240540,3036935
by,A1,14944892,3245183
that,B2,12277757,2229112
that,A1,12277757,2229112
that,A1,12277757,2229112
that,A1,12277757,2229112
at,A1,11081830,2848554
from,A1,11020825,2920359
his,A1,9802319,1740996
his,A1,9802319,1740996
in,A2,8540606,2312174
in,A1,8540606,2312174
an,A1,8127867,2757156
he,A1,8016132,1502811
were,A1,7174015,1674778
which,A1,6548600,2107784
which,A1,6548600,2107784
are,A1,6512672,1661864
IT,A2,5966244,1804792
it,A1,5966244,1804792
he,A1,5823000,1513915
also,A1,5366537,2146069
be,A1,5327925,1520160
had,A1,5205763,1509055
has,A1,5111881,1870882
or,A1,5022563,1453103
first,A1,4557745,1774443
first,A1,4557745,1774443
IT,A2,4255188,2141274
it,A1,4255188,2141274
their,A1,4240235,1337196
who,A1,3955077,1646416
its,A1,3945837,1502915
its,A1,3945837,1502915
but,A1,3842438,1458923
but,B1,3842438,1458923
not,A1,3834077,1297829
one,A1,3643047,1606852
one,A1,3643047,1606852
one,A2,3643047,1606852
her,A1,3641233,617383
her,A1,3641233,617383
have,A1,3583004,1270620
this,A1,3481091,1339496
this,A1,3481091,1339496
been,A2,3319794,1385292
two,A1,3214159,1459978
after,A2,2864876,1329688
after,B1,2864876,1329688
after,A1,2864876,1329688
they,A1,2735523,981817
other,A1,2673952,1223238
other,A2,2673952,1223238
into,A1,2622681,1189434
a,A1,2481882,1224884
time,A1,2436076,1122982
time,B2,2436076,1122982
she,A1,2351978,476892
when,A1,2259407,1096828
when,A1,2259407,1096828
more,B1,2244781,1007007
more,A1,2244781,1007007
more,A1,2244781,1007007
all,A2,2238236,1051377
all,A1,2238236,1051377
all,A1,2238236,1051377
this,A1,2165608,1086610
this,A1,2165608,1086610
would,A1,2161260,774053
new,A1,2117774,804673
over,A2,2092169,1025288
over,A1,2092169,1025288
on,A2,2064388,844662
on,A1,2064388,844662
where,A1,2057129,1109446
where,A1,2057129,1109446
only,A1,2054190,1032831
only,A1,2054190,1032831
during,A2,2042746,1046647
new,A1,1978922,866698
between,A1,1950580,980992
up,A2,1914185,984981
up,A1,1914185,984981
him,A1,1903806,634087
such,A2,1832992,823977
such,A2,1832992,823977
used,A2,1828290,789387
later,B2,1817186,972943
later,A1,1817186,972943
most,A2,1806683,936205
most,A1,1806683,936205
most,A2,1806683,936205
out,A1,1795712,867148
about,A1,1793513,878443
about,A1,1793513,878443
can,A1,1790820,657437
can,A2,1790820,657437
then,A1,1780297,946191
known,B2,1743298,1096318
united,B2,1736189,838149
three,A1,1700697,949662
than,A1,1669650,809989
than,A1,1669650,809989
part,A2,1660621,982864
part,B2,1660621,982864
season,B1,1655830,452972
under,A1,1620613,865289
including,B1,1617052,955987
university,A2,1615160,669784
there,A1,1610213,806858
being,A2,1584095,868299
some,A1,1581086,808776
some,A1,1581086,808776
she,A1,1573861,435838
year,A1,1545987,846355
through,B1,1516752,816628
through,A1,1516752,816628
many,A1,1487270,799088
many,A1,1487270,799088
team,A1,1486627,519907
film,A2,1485419,386156
film,B1,1485419,386156
against,A2,1446528,595504
after,A2,1433687,833898
after,B1,1433687,833898
after,A1,1433687,833898
before,A1,1424896,816909
before,A2,1424896,816909
before,A1,1424896,816909
well,A1,1418947,849325
well,A1,1418947,849325
while,A2,1417349,770441
while,B1,1417349,770441
them,A1,1413251,689284
second,A1,1403579,783250
second,B1,1403579,783250
second,A2,1403579,783250
second,A2,1403579,783250
both,A1,1387006,809976
both,A1,1387006,809976
both,A1,1387006,809976
until,B1,1377586,835169
until,A1,1377586,835169
work,A1,1312954,661488
work,A1,1312954,661488
family,A1,1302640,798134
may,A1,1285682,704703
May,A1,1285682,704703
name,A1,1283267,761296
name,B1,1283267,761296
album,A1,1281287,301132
people,A1,1279670,606241
I,A1,1263579,475471
number,A1,1249783,649849
area,A2,1241141,610863
world,A1,1239014,617298
no,A1,1226280,669199
no,A1,1226280,669199
national,A2,1218192,657887
series,B1,1214175,471139
school,A1,1213370,443021
as,A2,1205595,769156
as,A1,1205595,769156
several,A2,1158046,735372
several,A2,1158046,735372
may,A1,1144347,675484
May,A1,1144347,675484
will,A1,1141787,484272
will,B2,1141787,484272
following,A1,1109519,730176
following,B2,1109519,730176
same,A1,1105408,684684
same,A1,1105408,684684
same,A1,1105408,684684
these,A1,1103285,570807
these,A1,1103285,570807
they,A1,1101942,607437
early,A2,1100836,664969
early,A1,1100836,664969
June,A1,1090655,648857
September,A1,1090037,649396
March,A1,1087393,655719
march,B1,1087393,655719
march,B1,1087393,655719
school,A1,1086287,468370
January,A1,1080343,658696
July,A1,1071355,638758
found,B2,1070818,632402
his,A1,1065593,592876
his,A1,1065593,592876
October,A1,1060612,641961
since,B2,1054032,679133
since,B1,1054032,679133
since,A2,1054032,679133
four,A1,1048786,655129
August,A1,1032662,621993
April,A1,1031795,629157
game,A1,1029349,249131
city,A1,1028114,405275
south,A2,1017310,478309
south,A2,1017310,478309
south,A2,1017310,478309
use,A2,1013982,506538
use,A1,1013982,506538
state,B2,1009587,474666
state,A2,1009587,474666
state,B2,1009587,474666
November,A1,998630,614194
county,B1,994679,536238
at,A1,992912,669313
there,A1,988516,588493
December,A1,984128,606810
each,A1,977416,535204
each,A1,977416,535204
population,A2,970426,433120
so,A2,957558,542568
so,A1,957558,542568
now,A1,950527,614824
now,B2,950527,614824
group,A1,948332,471073
group,B1,948332,471073
former,B1,940412,634928
end,A1,936601,561857
end,A2,936601,561857
place,A1,936002,581341
place,B1,936002,581341
music,A1,932806,358301
however,A2,920604,533196
war,A1,913967,459814
member,A2,899076,577676
any,A1,894970,509426
any,A1,894970,509426
city,A1,887301,435488
